Date,Open,High,Low,Close,Adj Close,Volume
2010-04-28,25.280001,25.535000,24.799999,25.000000,23.198574,389480
2010-04-29,25.000000,25.215000,24.830000,25.125000,23.314568,275390
2010-04-30,25.200001,25.260000,24.985001,25.180000,23.365604,253340
2010-05-03,25.215000,26.070000,25.090000,26.035000,24.158995,244730
2010-05-04,26.049999,26.344999,24.840000,24.924999,23.128981,358710
2010-05-05,24.910000,25.120001,24.049999,24.440001,22.678926,814880
2010-05-06,24.049999,24.625000,24.020000,24.020000,22.289192,680300
2010-05-07,23.309999,23.709999,22.540001,22.695000,21.059666,774750
2010-05-10,23.400000,24.995001,23.370001,24.959999,23.161457,652260
2010-05-11,24.850000,24.870001,24.190001,24.424999,22.665009,510980
2010-05-12,24.445000,25.475000,24.430000,25.225000,23.407364,383870
2010-05-13,25.500000,25.615000,25.035000,25.200001,23.384165,116730
2010-05-14,24.995001,25.049999,23.910000,24.065001,22.330950,340170
2010-05-17,23.980000,24.504999,23.910000,24.125000,22.386625,342850
2010-05-18,24.500000,24.700001,24.110001,24.264999,22.516533,213770
2010-05-19,23.959999,24.235001,23.055000,23.055000,21.393724,516840
2010-05-20,23.195000,23.504999,21.910000,22.100000,20.507542,516210
2010-05-21,22.000000,22.275000,21.535000,22.125000,20.530739,797350
2010-05-24,22.325001,22.510000,21.865000,22.100000,20.507542,217910
2010-05-25,21.549999,21.830000,21.430000,21.510000,19.960054,474500
2010-05-26,21.850000,22.379999,21.655001,22.090000,20.498262,398200
2010-05-27,22.385000,23.010000,22.270000,22.799999,21.157099,390610
2010-05-28,23.000000,23.165001,22.795000,23.000000,21.342690,242430
2010-05-31,23.070000,23.250000,23.059999,23.145000,21.477243,129030
2010-06-01,22.900000,23.410000,22.525000,23.410000,21.723148,336210
2010-06-02,23.344999,23.584999,22.915001,23.584999,21.885534,375310
2010-06-03,23.990000,24.389999,23.940001,24.160000,22.419104,315730
2010-06-04,24.320000,24.385000,23.290001,23.629999,21.927290,561460
2010-06-07,23.469999,23.920000,23.334999,23.590000,21.890179,316880
2010-06-08,23.834999,23.844999,22.940001,23.165001,21.495800,236900
2010-06-09,23.450001,23.805000,23.075001,23.805000,22.089684,258640
2010-06-10,23.540001,24.389999,23.485001,24.389999,22.632528,259350
2010-06-11,24.420000,24.490000,23.865000,24.105000,22.368069,202980
2010-06-14,24.485001,24.485001,24.139999,24.290001,22.539738,122220
2010-06-15,24.139999,24.250000,23.895000,24.215000,22.470140,191370
2010-06-16,24.245001,24.299999,23.834999,23.980000,22.252073,245330
2010-06-17,24.000000,24.000000,23.750000,23.985001,22.256712,220090
2010-06-18,24.135000,24.135000,23.514999,23.660000,21.955132,583580
2010-06-21,23.920000,24.059999,23.330000,23.514999,21.820580,397380
2010-06-22,23.480000,23.615000,23.325001,23.350000,21.667467,305710
2010-06-23,23.245001,23.629999,23.200001,23.350000,21.667467,209910
2010-06-24,23.350000,23.379999,22.795000,22.809999,21.166380,307250
2010-06-25,22.780001,23.100000,22.780001,22.934999,21.282375,176990
2010-06-28,22.975000,23.260000,22.805000,23.080000,21.416924,193520
2010-06-29,22.809999,23.004999,22.129999,22.129999,20.535379,326410
2010-06-30,22.000000,22.330000,21.830000,21.840000,20.266279,347300
2010-07-01,21.750000,21.860001,21.254999,21.295000,19.760544,379250
2010-07-02,21.610001,21.629999,21.355000,21.434999,19.890459,181020
2010-07-05,21.594999,21.730000,21.320000,21.495001,19.946138,117440
2010-07-06,21.535000,22.100000,21.535000,22.049999,20.461143,167150
2010-07-07,21.775000,22.135000,21.500000,22.059999,20.470423,186380
2010-07-08,22.230000,22.230000,21.850000,21.950001,20.368351,141780
2010-07-09,22.184999,22.184999,21.830000,21.940001,20.359074,226950
2010-07-12,21.825001,21.980000,21.674999,21.719999,20.154921,186720
2010-07-13,21.670000,22.450001,21.670000,22.450001,20.832321,538190
2010-07-14,22.490000,22.915001,22.400000,22.905001,21.254538,409380
2010-07-15,22.900000,23.065001,22.410000,22.905001,21.254538,328750
2010-07-16,23.000000,23.080000,22.174999,22.250000,20.646732,397540
2010-07-19,22.330000,22.495001,22.035000,22.075001,20.484343,117510
2010-07-20,22.094999,22.215000,21.815001,22.035000,20.447224,163470
2010-07-21,22.254999,22.575001,22.190001,22.379999,20.767366,216180
2010-07-22,22.184999,23.020000,22.184999,22.900000,21.249893,236700
2010-07-23,23.200001,23.695000,23.155001,23.565001,21.866982,263960
2010-07-26,23.799999,23.934999,23.405001,23.860001,22.140724,336920
2010-07-27,23.860001,23.860001,23.584999,23.735001,22.024733,204220
2010-07-28,23.605000,23.760000,23.450001,23.590000,21.890179,217280
2010-07-29,23.200001,23.375000,21.700001,22.160000,20.563217,1273500
2010-07-30,21.950001,22.530001,21.799999,22.424999,20.809120,657180
2010-08-02,22.430000,23.180000,22.424999,23.105000,21.440121,336720
2010-08-03,22.879999,23.115000,22.760000,23.105000,21.440121,342890
2010-08-04,23.010000,23.309999,22.809999,23.180000,21.509718,268520
2010-08-05,23.299999,23.605000,23.150000,23.590000,21.890179,266870
2010-08-06,23.700001,23.745001,23.025000,23.125000,21.458685,291370
2010-08-09,23.200001,23.350000,22.809999,23.049999,21.389086,186240
2010-08-10,23.049999,23.049999,22.500000,22.719999,21.082867,143630
2010-08-11,22.639999,22.639999,21.785000,21.844999,20.270912,207090
2010-08-12,21.889999,22.090000,21.575001,21.580000,20.025011,259340
2010-08-13,21.620001,21.650000,21.100000,21.549999,19.997171,385300
2010-08-16,21.684999,21.879999,21.504999,21.785000,20.215237,276790
2010-08-17,21.820000,22.490000,21.695000,22.490000,20.869438,234230
2010-08-18,22.450001,22.450001,22.040001,22.174999,20.577135,173750
2010-08-19,22.200001,22.355000,21.790001,21.900000,20.321953,251740
2010-08-20,21.850000,21.934999,21.334999,21.334999,19.797663,228690
2010-08-23,21.340000,21.469999,21.125000,21.135000,19.612076,124820
2010-08-24,21.065001,21.434999,20.885000,21.405001,19.862621,284840
2010-08-25,21.500000,21.629999,20.985001,21.235001,19.704872,231840
2010-08-26,21.379999,21.475000,21.014999,21.155001,19.630636,161680
2010-08-27,21.014999,21.440001,20.940001,21.395000,19.853338,166910
2010-08-30,21.725000,21.725000,20.764999,20.980000,19.468243,100750
2010-08-31,20.620001,21.420000,20.620001,21.420000,19.876539,266000
2010-09-01,21.395000,21.900000,20.969999,21.840000,20.266279,279980
2010-09-02,21.850000,22.230000,21.790001,22.200001,20.600334,341190
2010-09-03,22.160000,22.375000,21.965000,22.170000,20.572498,169700
2010-09-06,22.195000,22.215000,22.055000,22.184999,20.586414,54700
2010-09-07,22.150000,22.150000,21.799999,22.035000,20.447224,97390
2010-09-08,22.065001,22.219999,21.735001,22.155001,20.558580,140160
2010-09-09,22.025000,22.485001,21.850000,22.400000,20.785921,136970
2010-09-10,22.230000,22.495001,22.120001,22.165001,20.567856,106010
2010-09-13,22.400000,22.549999,22.280001,22.395000,20.781286,166740
2010-09-14,22.450001,22.645000,22.299999,22.615000,20.985430,176440
2010-09-15,22.514999,22.799999,22.490000,22.674999,21.041107,183160
2010-09-16,22.674999,23.100000,22.590000,23.049999,21.389086,284610
2010-09-17,23.100000,23.250000,22.355000,22.355000,20.744167,439700
2010-09-20,22.430000,22.745001,22.410000,22.715000,21.078226,313640
2010-09-21,22.620001,22.995001,22.620001,22.825001,21.180302,482080
2010-09-22,22.900000,23.785000,22.600000,23.690001,21.982969,583410
2010-09-23,23.725000,23.950001,23.440001,23.555000,21.857697,428720
2010-09-24,23.660000,24.959999,23.610001,24.870001,23.077942,552290
2010-09-27,24.799999,24.940001,24.420000,24.764999,22.980511,267400
2010-09-28,24.520000,24.735001,24.090000,24.320000,22.567575,336690
2010-09-29,24.480000,24.480000,24.040001,24.110001,22.372705,278590
2010-09-30,23.805000,24.365000,23.799999,24.200001,22.456223,386030
2010-10-01,24.299999,24.440001,23.745001,24.049999,22.317028,221830
2010-10-04,24.049999,25.600000,24.049999,24.950001,23.152180,838100
2010-10-05,24.790001,25.610001,24.600000,25.530001,23.690388,616270
2010-10-06,25.559999,25.940001,25.434999,25.530001,23.690388,314480
2010-10-07,25.405001,25.670000,25.205000,25.445000,23.611509,320300
2010-10-08,25.299999,25.670000,25.299999,25.504999,23.667185,261320
2010-10-11,25.700001,26.360001,25.440001,25.905001,24.038363,695200
2010-10-12,25.799999,25.980000,25.610001,25.799999,23.940929,333830
2010-10-13,25.750000,25.945000,25.615000,25.660000,23.811014,481190
2010-10-14,25.549999,25.850000,25.500000,25.555000,23.713585,211610
2010-10-15,25.590000,25.995001,25.455000,25.955000,24.084761,205090
2010-10-18,26.600000,26.709999,25.000000,25.200001,23.384165,970460
2010-10-19,25.299999,25.299999,24.525000,24.650000,22.873795,461040
2010-10-20,24.405001,24.885000,24.285000,24.690001,22.910912,242020
2010-10-21,24.469999,25.465000,24.469999,25.465000,23.630068,349570
2010-10-22,25.450001,25.520000,25.070000,25.139999,23.328485,193750
2010-10-25,24.200001,25.264999,24.000000,25.055000,23.249613,335620
2010-10-26,25.100000,25.709999,24.895000,25.424999,23.592951,448480
2010-10-27,24.600000,24.900000,24.309999,24.360001,22.604692,407140
2010-10-28,24.400000,24.400000,23.830000,24.090000,22.354149,395660
2010-10-29,23.965000,24.025000,23.514999,23.889999,22.168560,389760
2010-11-01,24.150000,24.150000,23.490000,23.600000,21.899454,222400
2010-11-02,23.695000,23.815001,23.400000,23.590000,21.890179,415820
2010-11-03,23.764999,24.170000,23.559999,23.875000,22.154638,372620
2010-11-04,24.305000,24.594999,24.004999,24.389999,22.632528,377100
2010-11-05,24.584999,24.735001,24.020000,24.584999,22.813480,333690
2010-11-08,24.600000,24.760000,24.235001,24.535000,22.767080,308020
2010-11-09,24.594999,25.200001,24.500000,25.084999,23.277449,372630
2010-11-10,25.219999,25.500000,25.014999,25.264999,23.444479,500670
2010-11-11,25.385000,25.385000,24.625000,25.070000,23.263533,356900
2010-11-12,24.690001,25.075001,24.559999,24.920000,23.124342,280990
2010-11-15,24.650000,24.795000,24.395000,24.775000,22.989788,197110
2010-11-16,24.445000,24.655001,23.955000,24.055000,22.321671,287030
2010-11-17,24.084999,24.100000,23.735001,23.840000,22.122160,239770
2010-11-18,24.105000,24.205000,23.879999,24.065001,22.330950,143590
2010-11-19,24.100000,24.264999,24.035000,24.174999,22.433023,187670
2010-11-22,24.309999,24.440001,23.865000,23.900000,22.177834,205540
2010-11-23,23.855000,23.995001,23.320000,23.330000,21.648909,209300
2010-11-24,23.600000,23.600000,23.155001,23.389999,21.704586,329050
2010-11-25,23.309999,23.844999,23.309999,23.715000,22.006166,241280
2010-11-26,23.469999,23.680000,22.690001,23.340000,21.658188,644380
2010-11-29,23.500000,23.610001,22.770000,22.900000,21.249893,195820
2010-11-30,22.799999,23.180000,22.754999,22.895000,21.245255,313700
2010-12-01,23.260000,23.730000,23.030001,23.680000,21.973692,274670
2010-12-02,23.680000,23.920000,23.254999,23.410000,21.723148,381720
2010-12-03,23.400000,23.865000,23.135000,23.469999,21.778822,248650
2010-12-06,23.559999,23.764999,23.195000,23.680000,21.973692,130550
2010-12-07,23.844999,24.915001,23.690001,24.344999,22.590775,435540
2010-12-08,24.225000,24.250000,23.700001,23.875000,22.154638,146700
2010-12-09,23.764999,24.325001,23.764999,24.219999,22.474781,240210
